zip,population,borough,variable,value
10075,22252,MANHATTAN,evictions,32.0
11692,22074,QUEENS,evictions,128.0
11694,21202,QUEENS,evictions,47.0
11411,20719,QUEENS,evictions,54.0
11426,20524,QUEENS,evictions,14.0
10037,20462,MANHATTAN,evictions,150.0
11436,19167,QUEENS,evictions,79.0
11360,18954,QUEENS,evictions,24.0
11415,18891,QUEENS,evictions,65.0
11428,18836,QUEENS,evictions,39.0
11428,18836,BROOKLYN,evictions,1.0
11362,18343,QUEENS,evictions,8.0
10302,18037,STATEN ISLAND,evictions,60.0
11575,17180,QUEENS,evictions,2.0
10017,15846,MANHATTAN,evictions,34.0
10470,15716,BRONX,evictions,98.0
11004,15098,QUEENS,evictions,4.0
10307,14906,STATEN ISLAND,evictions,20.0
11366,14360,QUEENS,evictions,20.0
11693,12944,QUEENS,evictions,36.0
11239,12772,BROOKLYN,evictions,68.0
10044,12440,MANHATTAN,evictions,10.0
10474,12179,BRONX,evictions,116.0
10280,9496,MANHATTAN,evictions,9.0
10018,8806,MANHATTAN,evictions,92.0
10005,8701,MANHATTAN,evictions,28.0
11024,7786,BROOKLYN,evictions,1.0
10007,7408,MANHATTAN,evictions,5.0
11363,7096,QUEENS,evictions,7.0
10069,6051,MANHATTAN,evictions,3.0
11109,5980,QUEENS,evictions,12.0
10282,5783,MANHATTAN,evictions,2.0
11514,4694,STATEN ISLAND,evictions,1.0
10464,4531,BRONX,evictions,9.0
10004,3335,MANHATTAN,evictions,9.0
10006,3092,MANHATTAN,evictions,14.0
10162,1486,MANHATTAN,evictions,2.0
11430,206,QUEENS,evictions,1.0
